load_id,density_percent,filling_space_percent,loading_width,loading_height,loading_length,boxes_volume,r_width,r_height,r_length,mean_width,mean_height,mean_length,mean_stacking,mean_turnover,boxes_qty
11834,81.76416,81.72327,800.0,2000.0,1200.0,1569086877.0,0.1919191919191919,0.36977491961414793,0.3542713567839196,130.96296296296296,175.96666666666667,214.5962962962963,1.0,1.0,270
12729,82.5,51.5625,800.0,2000.0,1200.0,990000000.0,1.0,1.0,1.0,300.0,250.0,400.0,1.0,0.0,33
13579,94.44444,64.24381,2500.0,2100.0,7500.0,25296000000.0,1.0,1.0,1.0,800.0,1550.0,1200.0,0.0,0.0,17
13580,74.02778,67.29798,800.0,1650.0,1200.0,1066000000.0,0.6666666666666666,0.6666666666666666,0.6,278.7878787878788,269.6969696969697,415.1515151515151,1.0,1.0,33
14208,100.0,58.26317,2490.0,2590.0,13490.0,50688000000.0,1.0,1.0,1.0,800.0,1600.0,1200.0,0.0,0.0,33
14457,92.20825,90.27382,2480.0,2860.0,13600.0,87080000000.0,1.0,0.52,0.7333333333333333,175.0,209.75155279503105,2462.9399585921324,1.0,0.0,966
14770,55.72132,44.63278,2400.0,2500.0,6100.0,16335596000.0,0.39,0.375,0.5575539568345323,1605.7142857142858,1597.142857142857,1040.0,0.42857142857142855,0.0,7
14771,82.7095,72.29493,2490.0,2590.0,13490.0,62895403000.0,0.4375,0.1986754966887417,0.5036764705882353,843.3333333333334,819.074074074074,1584.8148148148148,1.0,0.0,54
14772,58.69138,47.83901,2450.0,2650.0,8800.0,27332340000.0,0.31,0.375,0.5575539568345323,1280.0,1327.7777777777778,912.2222222222222,0.7777777777777778,0.1111111111111111,18
14775,55.72132,44.63278,2400.0,2500.0,6100.0,16335596000.0,0.39,0.375,0.5575539568345323,1605.7142857142858,1597.142857142857,1040.0,0.42857142857142855,0.0,7
14781,100.0,58.33333,400.0,600.0,400.0,56000000.0,1.0,1.0,1.0,100.0,70.0,200.0,1.0,1.0,40
14784,95.3125,92.42424,800.0,1650.0,1200.0,1464000000.0,0.6666666666666666,0.6666666666666666,0.6,271.6981132075472,252.83018867924528,388.6792452830189,1.0,1.0,53
14786,99.43182,98.4375,800.0,2000.0,1200.0,1890000000.0,0.6666666666666666,0.6,0.625,272.72727272727275,267.27272727272725,359.09090909090907,1.0,0.0,66
14787,99.43182,98.4375,800.0,2000.0,1200.0,1890000000.0,0.6666666666666666,0.6,0.625,272.72727272727275,267.27272727272725,359.09090909090907,1.0,0.0,66
