density_percent,filling_space_percent,cargo_width,cargo_height,cargo_length,cargo_area,cargo_volume,boxes_volume,boxes_volume_mean,boxes_volume_median,boxes_volume_var,boxes_volume_lag,boxes_volume_norm_vs_boxes_mean,boxes_volume_norm_vs_cargo_mean,stacking_volume_cargo_perc,stacking_volume_boxes_perc,oversize_volume_boxes_perc,turnover_volume_cargo_perc,turnover_volume_boxes_perc,turnover_area,turnover_heiht,flatness_max,flatness_mean,flatness_median,flatness_var,flatness_lag,lengthness_min,lengthness_mean,lengthness_median,lengthness_var,lengthness_lag,mean_stacking,mean_turnover,boxes_qty
81.76416,81.72327,800.0,2000.0,1200.0,960000.0,1920000000.0,1569086877.0,5811432.877777778,5448080.0,23166369127060.36,1.0666937485825791,9783012.391012874,9783012.391012874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.6216216216217,308.91718247822024,323.76,7141.7453675802335,0.954154875457809,36.642857142857146,103.5756669394664,102.88983050847457,1757.9346966207913,1.0066657358419435,1.0,1.0,270
82.5,51.5625,800.0,2000.0,1200.0,960000.0,1920000000.0,990000000.0,30000000.0,30000000.0,0.0,1.0,30000000.0,30000000.0,0.0,0.0,0.0,0.515625,1.0,4.125,0.125,480.0,480.0,480.0,0.0,1.0,187.5,187.5,187.5,0.0,1.0,1.0,0.0,33
94.44444,64.24381,2500.0,2100.0,7500.0,18750000.0,39375000000.0,25296000000.0,1488000000.0,1488000000.0,0.0,1.0,1488000000.0,1488000000.0,0.6424380952380953,1.0,0.0,0.6424380952380953,1.0,0.8704,0.7380952380952381,2325.0,2325.0,2325.0,0.0,1.0,619.3548387096774,619.3548387096774,619.3548387096774,0.0,1.0,0.0,0.0,17
74.02778,67.29798,800.0,1650.0,1200.0,960000.0,1584000000.0,1066000000.0,32303030.303030305,31500000.0,143014678030303.03,1.0254930254930255,36596153.84615385,36596153.84615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,428.7878787878788,400.0,4223.484848484849,1.071969696969697,100.0,188.22510822510822,180.0,3227.4273345701927,1.0456950456950456,1.0,1.0,33
100.0,58.26317,2490.0,2590.0,13490.0,33590100.0,86998359000.0,50688000000.0,1536000000.0,1536000000.0,0.0,1.0,1536000000.0,1536000000.0,0.5826316792940888,1.0,0.0,0.5826316792940888,1.0,0.9431350308573062,0.6177606177606177,2400.0,2400.0,2400.0,0.0,1.0,600.0,600.0,600.0,0.0,1.0,0.0,0.0,33
92.20825,90.27382,2480.0,2860.0,13600.0,33728000.0,96462080000.0,87080000000.0,90144927.53623189,96250000.0,732043417248629.6,0.9365706757011105,98257259.84726688,98257259.84726688,0.0,0.0,0.5070337620578779,0.9027381536869203,1.0,12.344639468690701,0.08741258741258741,4285.714285714285,3449.3777444087787,3365.3846153846152,187858.6248185769,1.0249579583386086,9.1,15.19259991216536,14.583333333333334,22.72080351088486,1.0417782796913388,1.0,0.0,966
55.72132,44.63278,2400.0,2500.0,6100.0,14640000.0,36600000000.0,16335596000.0,2333656571.428571,2814750000.0,6.364843018822857e+17,0.8290812936952024,2567434745.870062,2567434745.8700614,0.2586245901639344,0.5794499325277144,0.34461552550638497,0.44632775956284154,1.0,0.8661577868852459,0.864,4290.123456790124,3115.4145469701803,3163.6363636363635,967234.603684905,0.9847574717434479,349.8263888888889,510.2219761333791,450.36,20607.416389331494,1.132920277407805,0.42857142857142855,0.0,7
82.7095,72.29493,2490.0,2590.0,13490.0,33590100.0,86998359000.0,62895403000.0,1164729685.1851852,822000000.0,5.673390418879933e+17,1.416946089033072,1642808650.9891512,1642808650.9891512,0.0,0.0,0.06703987571237917,0.7229493029862781,1.0,2.2483648455943865,0.583011583011583,9973.333333333334,1997.262607576525,1461.3333333333333,1777393.605860723,1.3667399230678776,121.32352941176471,442.2063952847233,437.95620437956205,10859.295581416292,1.0097046025667848,1.0,0.0,54
58.69138,47.83901,2450.0,2650.0,8800.0,21560000.0,57134000000.0,27332340000.0,1518463333.3333333,1297350000.0,8.389436336235293e+17,1.1704346038719955,2040264312.3786695,2040264312.3786695,0.16567472958308538,0.34631721982091546,0.20596480213549223,0.43297581125074386,0.9050685012699242,1.008063543599258,0.8150943396226416,4290.123456790124,2091.145512227534,2160.0,1266132.876201964,0.9681229223275619,278.0671296296296,528.1710015481832,642.0143884892086,21735.11058582262,0.8226778262572554,0.7777777777777778,0.1111111111111111,18
55.72132,44.63278,2400.0,2500.0,6100.0,14640000.0,36600000000.0,16335596000.0,2333656571.428571,2814750000.0,6.364843018822857e+17,0.8290812936952024,2567434745.870062,2567434745.8700614,0.2586245901639344,0.5794499325277144,0.34461552550638497,0.44632775956284154,1.0,0.8661577868852459,0.864,4290.123456790124,3115.4145469701803,3163.6363636363635,967234.603684905,0.9847574717434479,349.8263888888889,510.2219761333791,450.36,20607.416389331494,1.132920277407805,0.42857142857142855,0.0,7
100.0,58.33333,400.0,600.0,400.0,160000.0,96000000.0,56000000.0,1400000.0,1400000.0,0.0,1.0,1400000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.7142857142857,285.7142857142857,285.7142857142857,0.0,1.0,35.0,35.0,35.0,0.0,1.0,1.0,1.0,40
95.3125,92.42424,800.0,1650.0,1200.0,960000.0,1584000000.0,1464000000.0,27622641.509433962,31500000.0,131085631349782.3,0.8769092542677448,32278688.52459017,32278688.52459016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,416.9811320754717,400.0,3263.7880986937594,1.0424528301886793,100.0,184.42048517520217,180.0,3734.243653920205,1.0245582509733455,1.0,1.0,53
99.43182,98.4375,800.0,2000.0,1200.0,960000.0,1920000000.0,1890000000.0,28636363.636363637,36000000.0,146819580419580.4,0.7954545454545454,33685714.28571429,33685714.28571429,0.0,0.0,0.0,0.984375,1.0,6.9375,0.15,400.0,366.6666666666666,400.0,3008.5470085470088,0.9166666666666664,144.0,202.9090909090909,225.0,1321.376223776224,0.9018181818181819,1.0,0.0,66
99.43182,98.4375,800.0,2000.0,1200.0,960000.0,1920000000.0,1890000000.0,28636363.636363637,36000000.0,146819580419580.4,0.7954545454545454,33685714.28571429,33685714.28571429,0.0,0.0,0.0,0.984375,1.0,6.9375,0.15,400.0,366.6666666666666,400.0,3008.5470085470088,0.9166666666666664,144.0,202.9090909090909,225.0,1321.376223776224,0.9018181818181819,1.0,0.0,66
